Ticker,Return,Market Cap,Sector
HWM,-0.0629,5.14,Industrials
NWL,-0.3351,5.16,Consumer Defensive
PWR,-0.1587,5.20,Industrials
DVN,-0.5325,4.52,Energy
HFC,-0.3993,4.67,Energy
CMA,-0.5449,5.42,Financial
MRO,-0.5663,4.58,Energy
NLSN,-0.3305,5.12,Industrials
SEE,-0.2518,5.02,Consumer Cyclical
NBL,-0.5934,4.58,Energy
KIM,-0.4529,4.86,Real Estate
APA,-0.5244,4.44,Energy
DXC,-0.5882,4.24,Technology
FOX,-0.2481,4.58,Communication Services
NWSA,-0.1853,4.44,Communication Services
MOS,-0.4658,4.25,Basic Materials
AAL,-0.6618,4.34,Industrials
LEG,-0.41,4.15,Consumer Cyclical
ALK,-0.5421,4.24,Industrials
TPR,-0.4816,3.87,Consumer Cyclical
HOG,-0.3444,3.61,Consumer Cyclical
RL,-0.3786,3.98,Consumer Cyclical
HBI,-0.3542,3.70,Consumer Cyclical
HRB,-0.2785,3.37,Consumer Cyclical
DISCA,-0.3801,3.45,Communication Services
XRX,-0.5395,3.12,Technology
FLS,-0.4937,3.43,Industrials
FTI,-0.6637,3.23,Energy
SLG,-0.5992,3.62,Real Estate
PVH,-0.5801,3.67,Consumer Cyclical
UNM,-0.4955,3.32,Financial
NCLH,-0.762,3.47,Consumer Cyclical
IVZ,-0.5957,3.03,Financial
LB,-0.1678,3.65,Consumer Cyclical
KSS,-0.6569,3.20,Consumer Cyclical
ADS,-0.6252,2.01,Financial
JWN,-0.6174,1.90,Consumer Cyclical
GPS,-0.5356,2.06,Consumer Cyclical
UAA,-0.6139,1.64,Consumer Cyclical
UA,-0.6152,1.57,Consumer Cyclical
NWS,-0.1985,1.48,Communication Services
COTY,-0.6667,1.26,Consumer Defensive
